student_id,attendance_pct,study_hours_per_week,previous_exam_score,assignment_avg,quiz_avg,missed_assignments,participation_score
DEMO001,75.1,14.7,58.5,66.5,75.9,1,
DEMO002,95.5,7.6,78.6,80.8,79.4,1,6.5
DEMO003,,5.0,59.3,56.9,46.7,7,3.2
DEMO004,77.6,3.5,75.0,70.2,68.8,7,3.2
DEMO005,74.3,8.1,78.7,83.6,77.2,1,6.1
DEMO006,74.6,4.1,51.3,76.7,65.4,3,5.3
DEMO007,80.3,,66.5,78.9,52.5,1,7.8
DEMO008,93.8,10.9,81.8,85.9,88.5,0,5.8
DEMO009,80.8,25.6,66.6,78.9,,0,10.0
DEMO010,100.0,6.5,69.7,77.8,53.8,1,6.6
DEMO011,69.4,2.8,67.9,77.4,67.9,3,4.2
DEMO012,81.9,12.6,92.1,99.8,82.3,0,5.3
DEMO013,78.3,5.1,73.3,85.6,74.6,0,6.0
DEMO014,71.2,3.0,59.1,71.9,64.0,2,3.7
DEMO015,98.6,16.0,75.0,77.7,56.9,1,6.2
DEMO016,100.0,7.6,97.3,82.3,82.7,1,7.1
DEMO017,90.5,31.3,76.4,100.0,89.4,1,7.4
DEMO018,69.5,2.8,60.0,66.9,53.1,1,4.8
DEMO019,79.1,6.0,41.2,61.6,52.0,2,4.6
DEMO020,83.4,6.4,48.3,65.5,52.9,1,6.9
DEMO021,85.8,8.2,55.2,62.7,56.3,3,5.1
DEMO022,82.2,,54.6,78.6,60.8,1,8.9
DEMO023,70.9,5.5,73.2,,63.1,4,3.7
DEMO024,92.0,17.0,80.7,85.1,72.6,0,4.6
DEMO025,91.5,9.7,71.6,77.2,78.6,0,5.1
